,company,code
816,비즈니스온,138580
817,비트컴퓨터,032850
818,사람인에이치알,143240
819,삼륭물산,014970
820,삼양옵틱스,225190
821,삼영이엔씨,065570
822,삼일,032280
823,삼일기업공사,002290
824,삼지전자,037460
825,삼진,032750
826,삼화네트웍스,046390
827,상보,027580
828,상신이디피,091580
829,서린바이오,038070
830,서울바이오시스,092190
831,서호전기,065710
832,성우하이텍,015750
833,세경하이테크,148150
834,세명전기,017510
835,셀바스AI,108860
836,손오공,066910
837,솔루에타,154040
838,수성,084180
839,슈프리마,236200
840,스튜디오드래곤,253450
841,신라에스지,025870
842,신라젠,215600
843,신영스팩5호,323280
844,신한제6호스팩,333050
845,아가방컴퍼니,013990
846,아래스,050320
847,아모텍,052710
848,아미코젠,092040
849,아이에이,038880
850,아이에이네트웍스,123010
851,아이톡시,052770
852,액트로,290740
853,에스에스알,275630
854,에스제이그룹,306040
855,에스제이케이,080440
856,에스티팜,237690
857,에이씨티,138360
858,에프알텍,073540
859,에프에스티,036810
860,엔시트론,101400
861,엔에이치스팩14호,319400
862,영신금속,007530
863,예림당,036000
864,오르비텍,046120
865,오성첨단소재,052420
866,오션브릿지,241790
867,우리손에프앤지,073560
868,우수AMS,066590
869,원일특강,012620
870,윈하이텍,192390
871,윌링스,313760
872,유니테스트,086390
873,유바이오로직스,206650
874,유안타제6호스팩,340360
875,육일씨엔에쓰,191410
876,이글루시큐리티,067920
877,이글벳,044960
878,이녹스,088390
879,이랜시스,264850
880,이베스트스팩5호,349720
881,이에스에이,052190
882,이엠앤아이,083470
883,이엠텍,091120
884,이즈미디어,181340
885,이지케어텍,099750
886,인선이엔티,060150
887,인포마크,175140
888,인포바인,115310
889,인포뱅크,039290
890,잉크테크,049550
891,전진바이오팜,110020
892,정다운,208140
893,제놀루션,225220
894,제이스텍,090470
895,제일바이오,052670
896,젬백스지오,041590
897,조이맥스,101730
898,줌인터넷,239340
899,지니뮤직,043610
900,지니언스,263860
901,지란지교시큐리티,208350
902,지스마트글로벌,114570
903,지티지웰니스,219750
904,참좋은여행,094850
905,천보,278280
906,초록뱀,047820
907,컴투스,078340
908,케이비제19호스팩,330990
909,케이씨피드,025880
910,케이엔더블유,105330
911,코너스톤네트웍스,033110
912,코데즈컴바인,047770
913,코메론,049430
914,코미팜,041960
915,코아시아,045970
916,코오롱생명과학,102940
917,코웰패션,033290
918,코위버,056360
919,큐브엔터,182360
920,크로바하이텍,043590
921,크리스탈지노믹스,083790
922,클리오,237880
923,키움제5호스팩,311270
924,테고사이언스,191420
925,테라사이언스,073640
926,테라젠이텍스,066700
927,테스나,131970
928,티에스아이,277880
929,파루,043200
930,파멥신,208340
931,파수,150900
932,파워로직스,047310
933,파인디지털,038950
934,팬엔터테인먼트,068050
935,펄어비스,263750
936,펌텍코리아,251970
937,풍강,093380
938,플레이디,237820
939,피에스텍,002230
940,핌스,347770
941,하나마이크론,067310
942,한국경제TV,039340
943,한국바이오젠,318000
944,한국비엔씨,256840
945,한국아트라스비엑스,023890
946,한국알콜,017890
947,한국정보인증,053300
948,한국정보통신,025770
949,한국팩키지,037230
950,한글과컴퓨터,030520
951,한일단조,024740
952,한컴위드,054920
953,한탑,002680
954,현진소재,053660
955,형지I&C,011080
956,휴네시온,290270
957,휴맥스홀딩스,028080
958,흥국에프엔비,189980
959,KC산업,112190
960,구스앤홈,329050
961,노드메이슨,317860
962,대주이엔티,114920
963,디피코,163430
964,래몽래인,200350
965,로보쓰리,238500
966,미애부,225850
967,바이오시네틱스,281310
968,바이오인프라생명과학,266470
969,비플라이소프트,148780
970,썬테크,217320
971,앙츠,267810
972,에이치엔에스하이텍,044990
973,오션스톤,329020
974,이노벡스,279060
975,테크엔,308700
976,테크트랜스,258050
977,티케이씨,191600
978,틸론,217880
979,휴럼,284420
980,KB캐피탈,021960
981,LG금속,000170
982,갑을,009840
983,경남은행,192520
984,경성전기,028740
985,계몽사,011840
986,고려증권,002730
987,고합물산,007380
988,국민은행,060000
989,금강산업,028970
990,금성기전,007230
991,금성통신,006270
992,기온물산,028510
993,다산리츠,105380
994,다함이텍,009280
995,대구종금,014390
996,대신불펀드일,036390
997,대아리드선,009940
998,대우정밀공업,015730
999,대한염업,028890
1000,동국전자,012220
1001,동산씨앤지,001400
1002,동서호라이즌증권,001090
1003,동신,012270
1004,동화은행,021310
1005,두산건설,011160
1006,두산백화,000330
1007,두산테크팩,001690
1008,레이디,025840
1009,리젠트종금,015650
